poi_id,name,category,latitude,longitude,zone,mandatory,off_day,is_24_hours,opening_time_24h,closing_time_24h,closes_next_day,google_rating,review_count,metadata_source,metadata_collected_date,source_url,visit_duration_min,visit_duration_class,visit_duration_basis,admission_cost_rm,cost_source_url,cost_verified_date,indoor_ratio,shelter_ratio,exposure_ratio_basis,rating_norm,review_norm,zone_score,utility_score,utility_formula_version
1,Dataran Merdeka,Cultural / Historical,3.149676,101.694267,B,YES,NONE,YES,00:00,23:59,NO,4.500000,52968,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Dataran%20Merdeka%20Kuala%20Lumpur,90,Extended visit (90 min),Researcher-assigned benchmark estimate based on attraction type,0.000000,https://www.visitselangor.com/dataran-merdeka-independence-square/,2026-07-20,0.200000,0.100000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.000000,9.424427,8.000000,8.808142,U1_equal_rating_review_zone
2,Bangunan Sultan Abdul Samad,Cultural / Historical,3.148626,101.694450,B,NO,NONE,NO,08:00,22:00,NO,4.700000,2086,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Bangunan%20Sultan%20Abdul%20Samad%20Kuala%20Lumpur,45,Standard visit (45-60 min),Researcher-assigned benchmark estimate based on attraction type,0.000000,https://www.visitselangor.com/sultan-abdul-samad-building/,2026-07-20,0.100000,0.100000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.400000,6.622450,8.000000,8.007483,U1_equal_rating_review_zone
3,Muzium Tekstil Negara,Cultural / Historical,3.146545,101.693941,B,NO,NONE,NO,09:00,17:00,NO,4.600000,1816,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Tekstil%20Negara%20Kuala%20Lumpur,60,Standard visit (45-60 min),Researcher-assigned benchmark estimate based on attraction type,0.000000,https://www.visitselangor.com/national-textile-museum-muzium-tekstil-negara/,2026-07-20,0.800000,0.300000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.200000,6.502416,8.000000,7.900805,U1_equal_rating_review_zone
4,Muzium Negara,Cultural / Historical,3.137602,101.687870,B,YES,NONE,NO,09:00,17:00,NO,4.300000,14500,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Negara%20Kuala%20Lumpur,90,Extended visit (90 min),Researcher-assigned benchmark estimate based on attraction type,5.000000,https://www.muziumnegara.gov.my/en/ticket,2026-07-20,0.800000,0.300000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.600000,8.301992,8.000000,8.300664,U1_equal_rating_review_zone
5,Kuala Lumpur City Gallery,Cultural / Historical,3.147224,101.693407,B,NO,TUE,NO,11:00,18:30,NO,4.200000,66,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Kuala%20Lumpur%20City%20Gallery%20Kuala%20Lumpur,60,Standard visit (45-60 min),Researcher-assigned benchmark estimate based on attraction type,10.000000,https://klcitygallery.my/,2026-07-20,0.600000,0.300000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.400000,3.643021,8.000000,6.681007,U1_equal_rating_review_zone
6,Muzium Telekom,Cultural / Historical,3.149144,101.698984,B,NO,NONE,NO,09:00,17:00,NO,4.300000,1606,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Telekom%20Kuala%20Lumpur,90,Extended visit (90 min),Researcher-assigned benchmark estimate based on attraction type,11.000000,https://www.visitselangor.com/muzium-telekom/,2026-07-20,0.800000,0.300000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.600000,6.396004,8.000000,7.665335,U1_equal_rating_review_zone
7,Muzium Kesenian Islam Malaysia,Cultural / Historical,3.140828,101.689392,B,NO,NONE,NO,09:30,18:00,NO,4.700000,5914,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Kesenian%20Islam%20Malaysia%20Kuala%20Lumpur,120,Major attraction (120 min),Researcher-assigned benchmark estimate based on attraction type,20.000000,https://iamm.org.my/visit-us,2026-07-20,0.800000,0.300000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.400000,7.525053,8.000000,8.308351,U1_equal_rating_review_zone
8,KL Bird Park,Parks/Outdoor,3.143164,101.688485,B,NO,NONE,NO,09:00,17:30,NO,4.400000,16421,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=KL%20Bird%20Park%20Kuala%20Lumpur,120,Major attraction (120 min),Researcher-assigned benchmark estimate based on attraction type,90.000000,https://www.klbirdpark.com/plan-your-visit/,2026-07-20,0.100000,0.300000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.800000,8.409778,8.000000,8.403259,U1_equal_rating_review_zone
9,Bangunan Zhongshan,Cultural / Historical,3.137730,101.697103,B,NO,NONE,NO,10:00,18:00,NO,4.300000,641,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Bangunan%20Zhongshan%20Kuala%20Lumpur,120,Major attraction (120 min),Researcher-assigned benchmark estimate based on attraction type,0.000000,https://www.instagram.com/thezhongshanbuilding?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw%3D%3D,2026-07-20,0.700000,0.300000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.600000,5.601035,8.000000,7.400345,U1_equal_rating_review_zone
10,Memorial Tun P. Ramlee,Cultural / Historical,3.194970,101.708117,C,NO,NONE,NO,10:00,17:00,NO,4.600000,524,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Memorial%20Tun%20P.%20Ramlee%20Kuala%20Lumpur,30,Quick stop (20-30 min),Researcher-assigned benchmark estimate based on attraction type,0.000000,https://www.arkib.gov.my/ms/perkhidmatan/arkib-memorial/info-galeri/pustaka-peringatan-p-ramlee,2026-07-20,0.200000,0.100000,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.200000,5.426720,6.000000,6.875573,U1_equal_rating_review_zone
