poi_id,name,category,latitude,longitude,zone,mandatory,off_day,is_24_hours,opening_time_24h,closing_time_24h,closes_next_day,google_rating,review_count,metadata_source,metadata_collected_date,source_url,visit_duration_min,visit_duration_class,visit_duration_basis,admission_cost_rm,cost_source_url,cost_verified_date,indoor_ratio,shelter_ratio,exposure_ratio_basis,rating_norm,review_norm,zone_score,utility_score,utility_formula_version
1,Dataran Merdeka,Cultural / Historical,3.1496764,101.6942674,B,YES,NONE,YES,00:00,23:59,NO,4.5,52968,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Dataran%20Merdeka%20Kuala%20Lumpur,90,Extended visit (90 min),Researcher-assigned benchmark estimate based on attraction type,0.00,https://www.visitselangor.com/dataran-merdeka-independence-square/,2026-07-20,0.2,0.1,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.000000,9.424427,8.0,8.808142,U1_equal_rating_review_zone
2,Bangunan Sultan Abdul Samad,Cultural / Historical,3.1486259,101.6944497,B,NO,NONE,NO,08:00,22:00,NO,4.7,2086,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Bangunan%20Sultan%20Abdul%20Samad%20Kuala%20Lumpur,45,Standard visit (45-60 min),Researcher-assigned benchmark estimate based on attraction type,0.00,https://www.visitselangor.com/sultan-abdul-samad-building/,2026-07-20,0.1,0.1,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.400000,6.622450,8.0,8.007483,U1_equal_rating_review_zone
3,Muzium Tekstil Negara,Cultural / Historical,3.1465453,101.6939406,B,NO,NONE,NO,09:00,17:00,NO,4.6,1816,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Tekstil%20Negara%20Kuala%20Lumpur,60,Standard visit (45-60 min),Researcher-assigned benchmark estimate based on attraction type,0.00,https://www.visitselangor.com/national-textile-museum-muzium-tekstil-negara/,2026-07-20,0.8,0.3,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.200000,6.502416,8.0,7.900805,U1_equal_rating_review_zone
4,Muzium Negara,Cultural / Historical,3.1376023,101.6878697,B,YES,NONE,NO,09:00,17:00,NO,4.3,14500,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Negara%20Kuala%20Lumpur,90,Extended visit (90 min),Researcher-assigned benchmark estimate based on attraction type,5.00,https://www.muziumnegara.gov.my/en/ticket,2026-07-20,0.8,0.3,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.600000,8.301992,8.0,8.300664,U1_equal_rating_review_zone
5,Kuala Lumpur City Gallery,Cultural / Historical,3.1472239,101.693407,B,NO,TUE,NO,11:00,18:30,NO,4.2,66,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Kuala%20Lumpur%20City%20Gallery%20Kuala%20Lumpur,60,Standard visit (45-60 min),Researcher-assigned benchmark estimate based on attraction type,10.00,https://klcitygallery.my/,2026-07-20,0.6,0.3,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.400000,3.643021,8.0,6.681007,U1_equal_rating_review_zone
6,Muzium Telekom,Cultural / Historical,3.1491436,101.6989845,B,NO,NONE,NO,09:00,17:00,NO,4.3,1606,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Telekom%20Kuala%20Lumpur,90,Extended visit (90 min),Researcher-assigned benchmark estimate based on attraction type,11.00,https://www.visitselangor.com/muzium-telekom/,2026-07-20,0.8,0.3,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.600000,6.396004,8.0,7.665335,U1_equal_rating_review_zone
7,Muzium Kesenian Islam Malaysia,Cultural / Historical,3.1408278,101.6893921,B,NO,NONE,NO,09:30,18:00,NO,4.7,5914,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Muzium%20Kesenian%20Islam%20Malaysia%20Kuala%20Lumpur,120,Major attraction (120 min),Researcher-assigned benchmark estimate based on attraction type,20.00,https://iamm.org.my/visit-us,2026-07-20,0.8,0.3,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.400000,7.525053,8.0,8.308351,U1_equal_rating_review_zone
8,KL Bird Park,Parks/Outdoor,3.143164,101.6884845,B,NO,NONE,NO,09:00,17:30,NO,4.4,16421,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=KL%20Bird%20Park%20Kuala%20Lumpur,120,Major attraction (120 min),Researcher-assigned benchmark estimate based on attraction type,90.00,https://www.klbirdpark.com/plan-your-visit/,2026-07-20,0.1,0.3,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.800000,8.409778,8.0,8.403259,U1_equal_rating_review_zone
9,Bangunan Zhongshan,Cultural / Historical,3.1377298,101.6971033,B,NO,NONE,NO,10:00,18:00,NO,4.3,641,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Bangunan%20Zhongshan%20Kuala%20Lumpur,120,Major attraction (120 min),Researcher-assigned benchmark estimate based on attraction type,0.00,https://www.instagram.com/thezhongshanbuilding?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw%3D%3D,2026-07-20,0.7,0.3,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,8.600000,5.601035,8.0,7.400345,U1_equal_rating_review_zone
10,Memorial Tun P. Ramlee,Cultural / Historical,3.1949696,101.7081168,C,NO,NONE,NO,10:00,17:00,NO,4.6,524,Google Maps,2026-07-20,https://www.google.com/maps/search/?api=1&query=Memorial%20Tun%20P.%20Ramlee%20Kuala%20Lumpur,30,Quick stop (20-30 min),Researcher-assigned benchmark estimate based on attraction type,0.00,https://www.arkib.gov.my/ms/perkhidmatan/arkib-memorial/info-galeri/pustaka-peringatan-p-ramlee,2026-07-20,0.2,0.1,Researcher-assigned benchmark estimate based on the dominant visit environment and visible cover,9.200000,5.426720,6.0,6.875573,U1_equal_rating_review_zone
